generation,checkpoint_id,max_naa,min_naa,mean_naa,elites_mean_naa,cid_min_naa,cid_max_naa,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,amex-optimizer-test-3/1/20201218-020159,9904835.130666263,9179639.283628598,9408832.75597216,9522169.658229653,1_15,1_2,1213016.9701426548,803394.0089587739,1135994.8082949892,1131038.9956675686,1_2,1_1
2,amex-optimizer-test-3/2/20201218-020231,9904835.130666263,9264254.738092363,9540205.101715373,9690184.199975373,1_1,1_2,1213016.9701426548,803394.0089587739,1129917.9924533593,1079651.3201131844,1_2,1_1
3,amex-optimizer-test-3/3/20201218-020302,9904835.130666263,9264254.738092363,9656938.191301363,9675559.546491206,1_1,1_2,1213016.9701426548,803394.0089587739,1108061.1623974894,1112979.3077820526,1_2,1_1
4,amex-optimizer-test-3/4/20201218-020331,9904835.130666263,9254098.768714126,9635509.016635332,9705023.81938521,4_60,1_2,1213016.9701426548,803394.0089587739,1128676.5426841797,1097394.2846936532,1_2,1_1
5,amex-optimizer-test-3/5/20201218-020404,9904835.130666263,9264254.738092363,9656805.470960049,9698323.458313204,1_1,1_2,1213016.9701426548,803394.0089587739,1125325.6035070524,1134772.7344416608,1_2,1_1
6,amex-optimizer-test-3/6/20201218-020438,9904835.130666263,9264254.738092363,9634241.449522246,9691463.25037289,1_1,1_2,1213016.9701426548,803394.0089587739,1148833.8516212173,1119507.9780760463,1_2,1_1
7,amex-optimizer-test-3/7/20201218-020512,9904835.130666263,9264254.738092363,9655521.681519525,9704833.385935996,1_1,1_2,1213016.9701426548,803394.0089587739,1132190.6123067208,1119758.0957049637,1_2,1_1
8,amex-optimizer-test-3/8/20201218-020551,9904835.130666263,9264254.738092363,9653741.291384872,9708396.671859372,1_1,1_2,1213016.9701426548,803394.0089587739,1152587.901693532,1108293.4961341822,1_2,1_1
9,amex-optimizer-test-3/9/20201218-020623,9904835.130666263,9264254.738092363,9678610.64770869,9700199.449377283,1_1,1_2,1213016.9701426548,803394.0089587739,1127640.1544104263,1137756.9398495303,1_2,1_1
10,amex-optimizer-test-3/10/20201218-020653,9904835.130666263,9264254.738092363,9666481.628338987,9723898.535072206,1_1,1_2,1213016.9701426548,803394.0089587739,1148896.6311110414,1141358.4647480776,1_2,1_1
11,amex-optimizer-test-3/11/20201218-020726,9904835.130666263,9264254.738092363,9679790.858461713,9723058.78325074,1_1,1_2,1213016.9701426548,803394.0089587739,1133025.8900523474,1141420.2178379802,1_2,1_1
12,amex-optimizer-test-3/12/20201218-020805,9904835.130666263,9264254.738092363,9663908.099552361,9723058.78325074,1_1,1_2,1213016.9701426548,803394.0089587739,1141223.5078133885,1141420.21783798,1_2,1_1
13,amex-optimizer-test-3/13/20201218-020837,9904835.130666263,9264254.738092363,9672881.859346382,9737760.486865247,1_1,1_2,1213016.9701426548,803394.0089587739,1143831.0118369556,1137908.7024025184,1_2,1_1
14,amex-optimizer-test-3/14/20201218-020908,9904835.130666263,9264254.738092363,9671324.596791707,9737760.486865245,1_1,1_2,1213016.9701426548,803394.0089587739,1156413.7444685686,1137908.7024025181,1_2,1_1
15,amex-optimizer-test-3/15/20201218-020939,9904835.130666263,9264254.738092363,9664408.454235416,9723090.708982918,1_1,1_2,1213016.9701426548,803394.0089587739,1154110.6815276905,1138185.093139729,1_2,1_1
16,amex-optimizer-test-3/16/20201218-021016,9904835.130666263,9264254.738092363,9662265.090973122,9723568.688680876,1_1,1_2,1213016.9701426548,803394.0089587739,1147868.3175262061,1138194.8335586865,1_2,1_1
17,amex-optimizer-test-3/17/20201218-021046,9904835.130666263,9260215.8137073,9649952.972506726,9726185.808937833,17_68,1_2,1213016.9701426548,803394.0089587739,1157925.8883870004,1124172.4351033515,1_2,1_1
18,amex-optimizer-test-3/18/20201218-021116,9904835.130666263,9264254.738092363,9671266.500065047,9724509.921702165,1_1,1_2,1213016.9701426548,803394.0089587739,1140165.8567741404,1124807.872338844,1_2,1_1
19,amex-optimizer-test-3/19/20201218-021158,9904835.130666263,9264254.738092363,9679652.754555568,9724509.921702165,1_1,1_2,1213016.9701426548,803394.0089587739,1144632.866694587,1124807.872338844,1_2,1_1
20,amex-optimizer-test-3/20/20201218-021236,9904835.130666263,9264254.738092363,9665704.440340841,9724509.921702165,1_1,1_2,1213016.9701426548,803394.0089587739,1145509.2241001446,1124807.872338844,1_2,1_1
