cid,identity,NSGA-II_crowding_distance,NSGA-II_rank,is_elite,naa,score
1_1,(none),inf,1,True,6935946.605196845,1157592.87457573
1_2,(none),inf,1,True,8362553.48663629,195174.25832900568
19_38,,0.696009544983317,1,True,8070150.846233067,532244.3908050386
11_59,,0.3974688070459683,1,True,7381222.034333756,1069225.1776757124
6_68,,0.38117324755745896,1,True,7605279.892099494,1017667.0253882718
17_83,,0.17731993526652717,1,False,7972522.077352171,601903.5163885792
14_29,,0.3054986456345995,1,True,7700317.920105331,917645.6566618584
14_35,,0.347417053275629,1,True,7892723.572954839,741062.9473212801
12_65,,0.40394038313823616,1,True,7169471.943028314,1106193.3155623914
18_18,,0.6510368146569806,2,False,7777474.811770583,850218.980262202
20_11,,0.908336329008161,7,False,7344515.442727672,696515.3223442053
20_12,,0.24442423237903702,3,False,7547115.409354388,764575.4620223223
20_13,,0.3289833573611132,4,False,7219500.105261814,954969.0840534177
20_14,,inf,4,False,7033140.828831235,1030760.9929506175
20_15,,0.1809842242243162,5,False,7231736.698061582,950693.1276815912
20_16,,0.22248676615129495,4,False,7044316.117187126,1011041.5448070904
20_17,,1.1406637523212302,9,False,7480845.498443857,612791.9796349475
20_18,,0.16617310072440256,6,False,7612984.85111092,662149.5408251736
20_19,,0.6669280258182574,6,False,7243367.115670812,898523.525338117
20_20,,inf,3,False,7762921.296502733,724637.596863625
20_21,,0.2558180467403044,7,False,7635617.614977343,644274.6482293992
20_22,,0.26603725308877585,5,False,7492088.767983857,770030.7880906065
20_23,,0.30384731198347664,5,False,7262237.785865656,914631.4973156779
20_24,,0.21538170911831117,6,False,7192218.355256367,921749.7876586049
20_25,,0.3127121509764756,5,False,7369179.83717761,774712.7011718831
20_26,,0.7398290032698132,7,False,7118847.790481148,891308.5971252666
20_27,,0.2810728990140641,4,False,7147410.956466294,986429.0909832815
20_28,,0.23323727874310815,6,False,7044408.07804408,949797.9789899869
20_29,,inf,8,False,7629258.915001863,627430.1182705975
20_30,,0.6075011887454199,2,False,7205810.341447515,1047661.5736540913
20_31,,inf,2,False,7784551.831194983,720846.047979188
20_32,,0.16972328076529009,3,False,7545064.594351324,787457.5577920964
20_33,,0.2609604458812778,5,False,7589637.115995583,692429.0952041788
20_34,,0.6056170539670214,9,False,7121872.980303217,817871.61288262
20_35,,0.3336925342800854,6,False,6919591.618482175,955773.0236740762
20_36,,inf,4,False,7710712.291805913,699096.2355828108
20_37,,inf,6,False,7656391.977065247,659116.2918792588
20_38,,inf,7,False,6810676.971761994,993054.3775679127
20_39,,0.22030357933609812,4,False,7513927.253673161,774742.9444054037
20_40,,1.1559738502982428,9,False,7181033.536229021,670925.2691542635
20_41,,inf,5,False,6744648.959388793,1027040.415717138
20_42,,inf,3,False,7123104.556540187,1037625.0670147723
20_43,,inf,2,False,6893792.578967315,1066837.3333626334
20_44,,inf,11,False,6933597.855262648,826325.7071238803
20_45,,0.3317954829451909,6,False,7411265.9065233795,681090.9026530491
20_46,,0.11151564445217063,5,False,7238363.506635659,948147.7251214719
20_47,,0.3371035290754788,6,False,7397994.447631698,712942.9880177554
20_48,,0.22871930356187065,3,False,7492272.875594864,790868.6872873461
20_49,,0.327519373157964,5,False,6983121.929531924,989835.753111915
20_50,,0.2263622859483097,4,False,7103494.225868491,991407.2893059063
20_51,,0.21406149255968837,3,False,7651639.45361245,763090.444675295
20_52,,0.836453263297424,8,False,7187960.730029617,869054.081709463
20_53,,inf,7,False,7644858.114969036,594813.6575691511
20_54,,0.48790414075507255,4,False,7340673.3704862455,845081.209730317
20_55,,0.2895012631995364,4,False,7411752.779612923,844889.0939384362
20_56,,0.9610270047247167,8,False,7546567.652468545,646439.4256340874
20_57,,0.22422295656988828,6,False,7173305.842392849,940052.7982212617
20_58,,inf,9,False,7511926.445836469,562618.8933985512
20_59,,0.39091380146188837,3,False,7226028.766831451,983068.4669343102
20_60,,0.364992396896653,5,False,7661243.263559048,676476.3477316167
20_61,,0.48014621207141917,7,False,7559671.485119159,656022.4537764895
20_62,,0.5101567958588615,4,False,7298695.71792313,951369.350890865
20_63,,0.27405975440246033,5,False,7501343.248960713,717667.440856037
20_64,,0.31834749620144537,1,True,7798995.730834065,854334.1676259794
20_65,,0.35123672988286436,5,False,7122041.320701326,974067.0095199496
20_66,,inf,10,False,7110752.251470954,772177.9899529351
20_67,,0.3293989945054051,2,False,7553398.40686424,856313.8305953996
20_68,,0.2703199241841694,2,False,7512442.692334697,861243.6193051141
20_69,,0.33517435584950783,3,False,7151351.543220054,988782.1577701658
20_70,,0.6226218523929765,9,False,7132652.418958211,713253.3233389653
20_71,,0.21551906405204577,5,False,7316431.782659794,827175.3924032985
20_72,,inf,9,False,7090534.902821553,867342.3440921702
20_73,,0.7555894264543888,6,False,7354770.458468995,769352.9796228292
20_74,,inf,6,False,6890473.158513858,994277.8796688212
20_75,,0.2005293281195425,1,True,7948820.925094321,621048.7141261101
20_76,,inf,5,False,7680851.4691890655,570194.3315203264
20_77,,0.2036933049027692,3,False,7489631.960039425,831927.1318246752
20_78,,inf,10,False,7085252.4291076185,860614.5243890357
20_79,,0.1826772433890787,2,False,7358586.196468963,986543.1289266754
20_80,,0.3198826897102616,6,False,7550752.641493951,668583.977818099
20_81,,0.6447487269383945,7,False,7214148.881350303,852805.3819749788
20_82,,0.2493215519991869,5,False,7290330.934736272,834695.2240772708
20_83,,0.49855801716879183,2,False,7456674.777146911,912272.4965885665
20_84,,0.3076865655481376,8,False,7192056.6801801585,837325.0129507568
20_85,,0.32477836097536306,2,False,7378406.906650846,981677.7809128761
20_86,,0.19154498131111222,5,False,6849599.239200415,1019404.9563985079
20_87,,0.3481593015405665,2,False,7343617.71016006,1031369.5948302903
20_88,,0.21092834955063322,7,False,7193654.115487202,881258.8441072828
20_89,,inf,12,False,6901751.09798867,834377.831410852
20_90,,0.20734624064820098,5,False,6898735.191579798,1014724.5087477812
20_91,,0.6389550740939086,3,False,7478984.118456039,848121.505436885
20_92,,0.48749036709097043,4,False,7526640.706979821,767026.1447414563
20_93,,0.29678514971470743,3,False,7671133.319567,758244.3499633152
20_94,,inf,8,False,6752671.642416043,943160.3913303628
20_95,,inf,11,False,6908049.333335286,844715.7936888058
20_96,,0.47647869644014496,4,False,7691976.90366519,700213.1726065674
20_97,,0.8265136565840583,3,False,7332150.13806194,954874.634415319
20_98,,0.36229227165389827,4,False,7431926.661624277,793731.4576592968
20_99,,0.19736774647762115,6,False,7065693.886294205,941534.3434392782
20_100,,1.0090061324938522,8,False,7212389.252026964,780706.8132018913
